model,plagdet,recall,precision,granularity
embeddings_Alibaba-NLP_gte-Qwen2-7B-instruct,0.2576433073470544,0.541551394523021,0.17898400304680628,1.0623119189136587
embeddings_Linq-AI-Research_Linq-Embed-Mistral,0.5359590192587,0.8251261740024702,0.46038617545883814,1.147590376347544
embeddings_meta-llama_Llama-3.3-70B-Instruct,0.2123448924892959,0.4028132127189896,0.14555494145531456,1.009783009967595
